time,torget_pm1,elgeseter_pm1,torget_pm25,elgeseter_pm25,torget_pm10,elgeseter_pm10,torget_opctemp,elgeseter_opctemp,torget_opchum,elgeseter_opchum,elgeseter_pm25_nilu,elgeseter_pm10_nilu,torget_pm25_nilu,torget_pm10_nilu
2020-11-15 01:00:00,0.137264742702246,0.086945636818806,0.305158398300409,0.305316754749843,0.655356503278017,1.11547082165877,16.05,16,32.3,33.1428571428571,2.030318,5.840994,1.6,3.1
2020-11-15 02:00:00,0.133535418836843,0.083230844512582,0.323413333012944,0.25850313603878,0.817680440488316,0.529291296750307,16.8095238095238,16.2,33.2380952380952,34.25,2.274624,5.01008,1.3,1.9
2020-11-15 03:00:00,0.099542411975563,0.086034778860353,0.25474573969841,0.24628304370812,0.525522834807634,0.391460300201461,15.55,15.6190476190476,35.25,35.4285714285714,0.733048,2.406921,1.3,1.6
2020-11-15 04:00:00,0.060530761522906,0.053857802134007,0.16416045916932,0.164933419600129,0.324145214898246,0.383876463025808,15,15,36.3333333333333,36.8,2.032149,2.958961,1.1,1.1
2020-11-15 05:00:00,0.060061740130186,0.050868265242094,0.154169294238091,0.12776298359746,0.274377818778157,0.39483999957641,15,14.6666666666667,36.95,37.3333333333333,1.965289,2.358599,0.6,0.7
2020-11-15 06:00:00,0.031238864663811,0.021952081471682,0.085034198526825,0.058369262563065,0.439694225788116,0.1366278284695,15.8571428571429,15.85,36.6666666666667,37.25,4.139391,4.322715,0.4,0.3
2020-11-15 07:00:00,0.023007179889828,0.017409065472228,0.072831242997199,0.053749555145346,0.212835580855608,0.429775871026019,17.6,17.5238095238095,35.85,36,-0.879138,-0.191496,0.4,0.4
2020-11-15 08:00:00,0.036912762826043,0.012789837014861,0.076480431659591,0.03541985261254,0.22740518993565,0.184239184856415,18.0952380952381,18,35,35.65,1.016846,1.905235,0.3,0.4
2020-11-15 09:00:00,0.052132387831807,0.022001444140361,0.10045255664736,0.085452599362249,0.360625080578029,0.472951500720921,18.85,18,34.6,35.4761904761905,1.374818,2.456813,0.3,0.3
2020-11-15 10:00:00,0.072788693365597,0.040160789201036,0.175181811409337,0.106787030771375,0.506798042427926,0.524525491707027,18.1904761904762,18.05,36.8095238095238,36.65,-0.579202,0.817035,0.5,0.6
