Time,torget_pm25_nilu,torget_pm25_iot,torget_opctemp_iot,torget_opchum_iot,air_temperature,relative_humidity,precipitation,air_pressure,wind_speed,wind_direction
2021-12-17 17:00:00,-0.766424,0.927,9.73,99.9,7.9,92,0,1012.4,3.9,210
2021-12-17 18:00:00,-0.530052,1.38,9.55,99.9,7.9,93,0,1012,4.1,214
2021-12-17 19:00:00,2.494062,2.26,9.17,99.9,8.1,92,0,1011.8,5,233
2021-12-17 20:00:00,2.574609,1.68,9,99.9,8,94,1.1,1011.6,5.1,225
2021-12-17 21:00:00,4.992708,1.62,9.02,99.9,8.2,93,1.1,1011.7,6.5,232
2021-12-17 22:00:00,3.043473,0.845,9.04,99.9,8,94,0.2,1011.6,5.6,226
2021-12-17 23:00:00,-1.318435,1.04,9.19,99.9,8.2,93,0.2,1011.1,6.1,226
2021-12-18 00:00:00,3.662609,1.13,9.27,99.9,8.2,,0.5,1010.9,5.9,227
2021-12-18 01:00:00,0.203976,0.64,9.43,99.9,8.4,93,0.1,1010.7,6,234
2021-12-18 02:00:00,0.932666,0.323,9.47,99.9,8.5,94,1.5,1010.3,5.4,235
2021-12-18 03:00:00,1.850935,0.22,9.51,99.9,8.8,91,2.6,1010.1,6.6,237
2021-12-18 04:00:00,-3.230119,0.269,9.64,99.9,8.6,92,2.1,1009.4,6.3,239
2021-12-18 05:00:00,1.569751,0.33,9.59,99.9,8.5,92,1.6,1008.8,6.5,238
2021-12-18 06:00:00,3.571692,0.428,9.55,99.9,8.4,91,1.1,1008.5,6.9,238
2021-12-18 07:00:00,2.684261,0.333,9.76,99.9,8.9,90,0.6,1007.8,8,242
2021-12-18 08:00:00,0.954813,0.362,9.5,99.9,8.2,90,0.2,1007.7,7.7,240
2021-12-18 09:00:00,0.426151,0.838,9.13,99.9,8.2,90,0.2,1007.2,8.8,237
2021-12-18 10:00:00,0.377881,1.18,9.05,99.9,8,86,0,1007.1,8.5,249
2021-12-18 11:00:00,4.147548,0.793,8.69,99.9,8.1,83,0,1006.3,9,247
2021-12-18 12:00:00,0.059458,0.509,8.8,99.9,7.7,82,0,1005.1,9.9,247
2021-12-18 13:00:00,-2.771932,0.39,9.14,99.9,8.1,78,0,1004,11.5,243
2021-12-18 14:00:00,1.722455,0.465,9.13,99.9,8.2,78,0,1003.6,10.5,247
2021-12-18 15:00:00,1.729416,0.582,8.27,99.9,7.6,83,0,1003.4,10.5,254
2021-12-18 16:00:00,2.680378,1.19,7.26,99.9,6.9,86,1.2,1002.2,10.3,252
2021-12-18 17:00:00,-1.539085,0.72,6.01,99.9,4.9,91,5.1,1003.9,6.3,294
2021-12-18 18:00:00,0.378508,1.09,6.08,99.9,4.5,92,2.1,1004,4.5,288
2021-12-18 19:00:00,-0.314717,2.1,6.12,99.9,4.7,93,0.6,1003.7,4.4,286
2021-12-18 20:00:00,2.727115,3.1,5.75,99.9,4.2,89,0.4,1004.2,4.1,293
2021-12-18 21:00:00,0.778127,2.93,5.42,99.9,4.6,74,0,1003.8,6.1,273
2021-12-18 22:00:00,0.091803,2.46,4.71,99.9,3,85,0.5,1004.1,5.2,292
2021-12-18 23:00:00,-1.522639,2.79,4.59,99.9,3.2,78,0.5,1003.5,6.3,265
2021-12-19 00:00:00,2.030624,2.47,4.3,99.9,2.6,85,0.9,1003.8,3.8,296
2021-12-19 01:00:00,4.597027,1.68,3.43,99.9,3.1,74,0.2,1004.3,6.7,296
2021-12-19 02:00:00,-1.391066,1.85,3.38,99.9,1.5,87,0.5,1004.5,6.3,271
2021-12-19 03:00:00,0.595648,1.2,3.27,99.9,2,82,0.2,1004.6,6.4,284
2021-12-19 04:00:00,-1.680729,1.15,3.17,99.9,1.5,90,0.7,1004.9,5,279
2021-12-19 05:00:00,-1.68345,1.52,3.18,99.9,1.5,84,0.2,1005.6,3.9,289
2021-12-19 06:00:00,0.377803,1.67,3.49,99.9,1.5,85,0,1006.1,4.2,298
2021-12-19 07:00:00,-2.231855,1.89,3.85,99.9,2.1,85,0.2,1006.2,5.1,289
2021-12-19 08:00:00,-1.609131,1.5,3.91,99.9,2.1,85,0.2,1006.8,4.6,293
2021-12-19 09:00:00,1.231016,1.63,4.17,99.9,2.3,84,0,1007.5,4.5,273
2021-12-19 10:00:00,5.963251,0.9,4.04,99.9,2.1,87,0.1,1008.2,4.8,272
2021-12-19 11:00:00,4.400143,1.46,4.38,99.9,2.3,84,0.1,1008.7,4.3,270
2021-12-19 12:00:00,3.272182,2.28,4.47,99.9,2.7,85,0.1,1008.4,4.2,254
2021-12-19 13:00:00,0.132845,2.59,4.6,99.9,3.3,85,0.1,1008.1,4.5,258
2021-12-19 14:00:00,3.13395,2.61,4.79,99.9,2.9,89,2.7,1008.1,4.1,313
2021-12-19 15:00:00,1.741012,3.4,4.9,99.9,3.8,86,0.2,1008.5,5.1,302
2021-12-19 16:00:00,8.957287,3.72,4.7,99.9,3.9,84,0.4,1008.9,2.9,297
2021-12-19 17:00:00,3.825826,2.92,5,99.9,3.8,82,0.1,1009.1,3.3,304
2021-12-19 18:00:00,7.250572,3.38,5.15,99.9,3.8,80,0,1009.1,2.8,319
2021-12-19 19:00:00,6.982184,3.38,5.18,99.9,3.8,77,0,1009.7,3.3,317
2021-12-19 20:00:00,6.269812,3.11,4.74,99.9,4,75,0,1010.3,2.6,344
