Time,torget_pm10_nilu,torget_pm10_iot,torget_opctemp_iot,torget_opchum_iot,air_temperature,relative_humidity,precipitation,air_pressure,wind_speed,wind_direction
2021-12-17 16:00:00,0.9,1.05,9.57,99.9,8,92,0,1012.9,4,217
2021-12-17 17:00:00,0.8,1.4,9.73,99.9,7.9,92,0,1012.4,3.9,210
2021-12-17 18:00:00,0.8,2.51,9.55,99.9,7.9,93,0,1012,4.1,214
2021-12-17 19:00:00,1.1,5.31,9.17,99.9,8.1,92,0,1011.8,5,233
2021-12-17 20:00:00,1.5,2.83,9,99.9,8,94,1.1,1011.6,5.1,225
2021-12-17 21:00:00,1.6,2.28,9.02,99.9,8.2,93,1.1,1011.7,6.5,232
2021-12-17 22:00:00,1.3,1.36,9.04,99.9,8,94,0.2,1011.6,5.6,226
2021-12-17 23:00:00,1,1.6,9.19,99.9,8.2,93,0.2,1011.1,6.1,226
2021-12-18 00:00:00,0.7,1.54,9.27,99.9,8.2,,0.5,1010.9,5.9,227
2021-12-18 01:00:00,0.4,1.47,9.43,99.9,8.4,93,0.1,1010.7,6,234
2021-12-18 02:00:00,0.3,1.71,9.47,99.9,8.5,94,1.5,1010.3,5.4,235
2021-12-18 03:00:00,0.3,1.02,9.51,99.9,8.8,91,2.6,1010.1,6.6,237
2021-12-18 04:00:00,0.2,1,9.64,99.9,8.6,92,2.1,1009.4,6.3,239
2021-12-18 05:00:00,0.3,1.5,9.59,99.9,8.5,92,1.6,1008.8,6.5,238
2021-12-18 06:00:00,0.2,1.59,9.55,99.9,8.4,91,1.1,1008.5,6.9,238
2021-12-18 07:00:00,0.2,0.895,9.76,99.9,8.9,90,0.6,1007.8,8,242
2021-12-18 08:00:00,0.2,1.07,9.5,99.9,8.2,90,0.2,1007.7,7.7,240
2021-12-18 09:00:00,0.3,3.6,9.13,99.9,8.2,90,0.2,1007.2,8.8,237
2021-12-18 10:00:00,0.5,6,9.05,99.9,8,86,0,1007.1,8.5,249
2021-12-18 11:00:00,1.2,3.23,8.69,99.9,8.1,83,0,1006.3,9,247
2021-12-18 12:00:00,1.6,1.86,8.8,99.9,7.7,82,0,1005.1,9.9,247
2021-12-18 13:00:00,1.2,1.26,9.14,99.9,8.1,78,0,1004,11.5,243
2021-12-18 14:00:00,0.7,1.85,9.13,99.9,8.2,78,0,1003.6,10.5,247
2021-12-18 15:00:00,0.7,2.24,8.27,99.9,7.6,83,0,1003.4,10.5,254
2021-12-18 16:00:00,0.8,10.8,7.26,99.9,6.9,86,1.2,1002.2,10.3,252
2021-12-18 17:00:00,1.2,6.22,6.01,99.9,4.9,91,5.1,1003.9,6.3,294
2021-12-18 18:00:00,2.8,5.99,6.08,99.9,4.5,92,2.1,1004,4.5,288
2021-12-18 19:00:00,3.5,15.8,6.12,99.9,4.7,93,0.6,1003.7,4.4,286
2021-12-18 20:00:00,2.8,22.9,5.75,99.9,4.2,89,0.4,1004.2,4.1,293
2021-12-18 21:00:00,6,21.3,5.42,99.9,4.6,74,0,1003.8,6.1,273
2021-12-18 22:00:00,9.8,19.1,4.71,99.9,3,85,0.5,1004.1,5.2,292
2021-12-18 23:00:00,10.6,21.1,4.59,99.9,3.2,78,0.5,1003.5,6.3,265
2021-12-19 00:00:00,9,18.2,4.3,99.9,2.6,85,0.9,1003.8,3.8,296
2021-12-19 01:00:00,8.8,12.1,3.43,99.9,3.1,74,0.2,1004.3,6.7,296
2021-12-19 02:00:00,7.3,15.4,3.38,99.9,1.5,87,0.5,1004.5,6.3,271
2021-12-19 03:00:00,5.7,10.2,3.27,99.9,2,82,0.2,1004.6,6.4,284
2021-12-19 04:00:00,5.2,8.61,3.17,99.9,1.5,90,0.7,1004.9,5,279
2021-12-19 05:00:00,4.4,11.4,3.18,99.9,1.5,84,0.2,1005.6,3.9,289
2021-12-19 06:00:00,3.9,13.6,3.49,99.9,1.5,85,0,1006.1,4.2,298
2021-12-19 07:00:00,5.1,13.2,3.85,99.9,2.1,85,0.2,1006.2,5.1,289
2021-12-19 08:00:00,5.8,10.2,3.91,99.9,2.1,85,0.2,1006.8,4.6,293
2021-12-19 09:00:00,6.1,11.3,4.17,99.9,2.3,84,0,1007.5,4.5,273
2021-12-19 10:00:00,5.9,5.46,4.04,99.9,2.1,87,0.1,1008.2,4.8,272
2021-12-19 11:00:00,4.7,9.25,4.38,99.9,2.3,84,0.1,1008.7,4.3,270
2021-12-19 12:00:00,2.8,15.3,4.47,99.9,2.7,85,0.1,1008.4,4.2,254
2021-12-19 13:00:00,4.5,18.8,4.6,99.9,3.3,85,0.1,1008.1,4.5,258
2021-12-19 14:00:00,7,18.1,4.79,99.9,2.9,89,2.7,1008.1,4.1,313
2021-12-19 15:00:00,7.1,23,4.9,99.9,3.8,86,0.2,1008.5,5.1,302
2021-12-19 16:00:00,7.8,25.8,4.7,99.9,3.9,84,0.4,1008.9,2.9,297
2021-12-19 17:00:00,9.7,18.5,5,99.9,3.8,82,0.1,1009.1,3.3,304
2021-12-19 18:00:00,11.1,23.3,5.15,99.9,3.8,80,0,1009.1,2.8,319
2021-12-19 19:00:00,11.1,23,5.18,99.9,3.8,77,0,1009.7,3.3,317
2021-12-19 20:00:00,11.2,21.4,4.74,99.9,4,75,0,1010.3,2.6,344
2021-12-19 21:00:00,11,25.7,4.48,99.9,2.8,82,0,1010.5,1.9,273
2021-12-19 22:00:00,12.3,23.3,4.62,99.9,3.1,84,0,1010.8,2.2,287
2021-12-19 23:00:00,12.5,18.6,4.82,99.9,3.1,81,0,1010.7,2.2,249
2021-12-20 00:00:00,11,14.4,4.6,99.9,3.1,84,0.1,1010.9,3.1,273
2021-12-20 01:00:00,8.6,15,4.97,99.9,3.4,85,0,1011,2.3,305
2021-12-20 02:00:00,6.5,12,4.43,99.9,3.4,85,0,1011.2,1.8,313
2021-12-20 03:00:00,6.4,12,4.29,99.9,3.2,83,0,1011.4,2.8,265
2021-12-20 04:00:00,5.9,13.8,4.36,99.9,2.8,84,0,1011.5,2.2,292
2021-12-20 05:00:00,5.9,10.9,4.48,99.9,2.5,84,0,1011.6,1.7,288
2021-12-20 06:00:00,6.4,15.1,4.5,99.9,2.3,83,0,1011.6,0.2,42
2021-12-20 07:00:00,6.8,14.9,3.95,99.9,1.5,86,0,1011.8,0.4,205
2021-12-20 08:00:00,8.2,16.4,3.4,99.9,1.8,85,0,1011.9,1.4,146
2021-12-20 09:00:00,9.1,16.2,3.23,99.9,2,85,0,1012.1,1.4,188
2021-12-20 10:00:00,10.3,18.2,3.34,99.9,1.9,86,0,1012,1.8,198
2021-12-20 11:00:00,11.8,17.9,2.93,99.9,1.6,88,0,1012.1,1.7,191
2021-12-20 12:00:00,12.3,16.6,3.25,99.9,1.6,89,0,1011.7,2.2,203
2021-12-20 13:00:00,10.5,18.1,3.16,99.9,1.7,89,0,1011.7,1.8,207
2021-12-20 14:00:00,9.6,19.6,2.8,99.9,1.4,92,0.1,1011.3,2.8,188
2021-12-20 15:00:00,10.4,20.3,2.48,99.9,1,92,0,1011.1,1.7,213
2021-12-20 16:00:00,11.1,19.2,2.32,99.9,1.2,91,0,1011.1,2.6,191
2021-12-20 17:00:00,10.7,17.8,2.4,99.9,1.3,89,0,1010.6,2.3,201
2021-12-20 18:00:00,10.9,16.4,2.53,99.9,1.3,89,0,1010.2,2.1,204
2021-12-20 19:00:00,10.5,14.8,2.84,99.9,1.3,88,0,1009.8,2.7,213
2021-12-20 20:00:00,10.5,17.3,2.63,99.9,0.8,92,0.1,1009.5,2.3,215
2021-12-20 21:00:00,10.4,18.5,2.4,99.9,0.8,94,0.5,1009.3,1.4,193
2021-12-20 22:00:00,9.6,17.7,2.41,99.9,0.7,94,0,1009,1.1,211
2021-12-20 23:00:00,10.4,14.6,2.06,99.9,0.7,95,0.1,1008.3,1,209
2021-12-21 00:00:00,9.9,9.53,2.4,99.9,0.4,96,0.1,1007.8,1.8,221
2021-12-21 01:00:00,7,7.33,2.44,99.9,0.4,96,0.1,1007.4,2,220
2021-12-21 02:00:00,4.3,6.66,2.78,99.9,0.4,96,0,1007,1.5,223
2021-12-21 03:00:00,3.3,7.75,2.63,99.9,0.4,97,0.1,1006.7,1.6,227
2021-12-21 04:00:00,3.2,7.37,2.42,99.9,0.8,97,0.1,1006.1,1.5,200
2021-12-21 05:00:00,3.2,6.38,2.35,99.9,0.7,96,0.1,1005.5,1.8,207
2021-12-21 06:00:00,2.7,4.9,2.56,99.9,0.1,97,0,1005.2,2.2,229
2021-12-21 07:00:00,2.3,6.45,2.54,99.9,0.7,96,0.1,1004.8,2.6,178
