"Time","SDS011 PM10"
2021-12-14 10:00:00,
2021-12-14 11:00:00,
2021-12-14 12:00:00,
2021-12-14 13:00:00,
2021-12-14 14:00:00,
2021-12-14 15:00:00,
2021-12-14 16:00:00,
2021-12-14 17:00:00,
2021-12-14 18:00:00,
2021-12-14 19:00:00,
2021-12-14 20:00:00,
2021-12-14 21:00:00,
2021-12-14 22:00:00,
2021-12-14 23:00:00,
2021-12-15 00:00:00,
2021-12-15 01:00:00,
2021-12-15 02:00:00,
2021-12-15 03:00:00,
2021-12-15 04:00:00,
2021-12-15 05:00:00,
2021-12-15 06:00:00,
2021-12-15 07:00:00,
2021-12-15 08:00:00,
2021-12-15 09:00:00,
2021-12-15 10:00:00,
2021-12-15 11:00:00,
2021-12-15 12:00:00,
2021-12-15 13:00:00,
2021-12-15 14:00:00,
2021-12-15 15:00:00,
2021-12-15 16:00:00,
2021-12-15 17:00:00,
2021-12-15 18:00:00,
2021-12-15 19:00:00,
2021-12-15 20:00:00,
2021-12-15 21:00:00,2.12
2021-12-15 22:00:00,
2021-12-15 23:00:00,41.8
2021-12-16 00:00:00,36.9
2021-12-16 01:00:00,83.5
2021-12-16 02:00:00,21.2
2021-12-16 03:00:00,12.9
2021-12-16 04:00:00,
2021-12-16 05:00:00,
2021-12-16 06:00:00,
2021-12-16 07:00:00,
2021-12-16 08:00:00,
2021-12-16 09:00:00,
2021-12-16 10:00:00,
2021-12-16 11:00:00,
2021-12-16 12:00:00,
2021-12-16 13:00:00,
2021-12-16 14:00:00,
2021-12-16 15:00:00,
2021-12-16 16:00:00,
2021-12-16 17:00:00,
2021-12-16 18:00:00,
2021-12-16 19:00:00,
2021-12-16 20:00:00,
2021-12-16 21:00:00,7.87
2021-12-16 22:00:00,6.11
2021-12-16 23:00:00,4.91
2021-12-17 00:00:00,4.66
2021-12-17 01:00:00,4.36
2021-12-17 02:00:00,4.07
2021-12-17 03:00:00,3.37
2021-12-17 04:00:00,3.35
2021-12-17 05:00:00,2.70
2021-12-17 06:00:00,2.69
2021-12-17 07:00:00,2.16
2021-12-17 08:00:00,1.16
2021-12-17 09:00:00,1.32
2021-12-17 10:00:00,0.848
2021-12-17 11:00:00,0.892
2021-12-17 12:00:00,0.591
2021-12-17 13:00:00,0.379
2021-12-17 14:00:00,3.27
2021-12-17 15:00:00,1.86
2021-12-17 16:00:00,1.05
2021-12-17 17:00:00,1.40
2021-12-17 18:00:00,2.51
2021-12-17 19:00:00,5.31
2021-12-17 20:00:00,2.83
2021-12-17 21:00:00,2.28
2021-12-17 22:00:00,1.36
2021-12-17 23:00:00,1.60
2021-12-18 00:00:00,1.54
2021-12-18 01:00:00,1.47
2021-12-18 02:00:00,1.71
2021-12-18 03:00:00,1.02
2021-12-18 04:00:00,1.00
2021-12-18 05:00:00,1.50
2021-12-18 06:00:00,1.59
2021-12-18 07:00:00,0.895
2021-12-18 08:00:00,1.07
2021-12-18 09:00:00,3.60
2021-12-18 10:00:00,6.00
2021-12-18 11:00:00,3.23
2021-12-18 12:00:00,1.86
2021-12-18 13:00:00,1.26
2021-12-18 14:00:00,1.85
2021-12-18 15:00:00,2.24
2021-12-18 16:00:00,10.8
2021-12-18 17:00:00,6.22
2021-12-18 18:00:00,5.99
2021-12-18 19:00:00,15.8
2021-12-18 20:00:00,22.9
2021-12-18 21:00:00,21.3
2021-12-18 22:00:00,19.1
2021-12-18 23:00:00,21.1
2021-12-19 00:00:00,18.2
2021-12-19 01:00:00,12.1
2021-12-19 02:00:00,15.4
2021-12-19 03:00:00,10.2
2021-12-19 04:00:00,8.61
2021-12-19 05:00:00,11.4
2021-12-19 06:00:00,13.6
2021-12-19 07:00:00,13.2
2021-12-19 08:00:00,10.2
2021-12-19 09:00:00,11.3
2021-12-19 10:00:00,5.46
2021-12-19 11:00:00,9.25
2021-12-19 12:00:00,15.3
2021-12-19 13:00:00,18.8
2021-12-19 14:00:00,18.1
2021-12-19 15:00:00,23.0
2021-12-19 16:00:00,25.8
2021-12-19 17:00:00,18.5
2021-12-19 18:00:00,23.3
2021-12-19 19:00:00,23.0
2021-12-19 20:00:00,21.4
2021-12-19 21:00:00,25.7
2021-12-19 22:00:00,23.3
2021-12-19 23:00:00,18.6
2021-12-20 00:00:00,14.4
2021-12-20 01:00:00,15.0
2021-12-20 02:00:00,12.0
2021-12-20 03:00:00,12.0
2021-12-20 04:00:00,13.8
2021-12-20 05:00:00,10.9
2021-12-20 06:00:00,15.1
2021-12-20 07:00:00,14.9
2021-12-20 08:00:00,16.4
2021-12-20 09:00:00,16.2
2021-12-20 10:00:00,18.2
2021-12-20 11:00:00,17.9
2021-12-20 12:00:00,16.6
2021-12-20 13:00:00,18.1
2021-12-20 14:00:00,19.6
2021-12-20 15:00:00,20.3
2021-12-20 16:00:00,19.2
2021-12-20 17:00:00,17.8
2021-12-20 18:00:00,16.4
2021-12-20 19:00:00,14.8
2021-12-20 20:00:00,17.3
2021-12-20 21:00:00,18.5
2021-12-20 22:00:00,17.7
2021-12-20 23:00:00,14.6
2021-12-21 00:00:00,9.53
2021-12-21 01:00:00,7.33
2021-12-21 02:00:00,6.66
2021-12-21 03:00:00,7.75
2021-12-21 04:00:00,7.37
2021-12-21 05:00:00,6.38
2021-12-21 06:00:00,4.90
2021-12-21 07:00:00,6.45
2021-12-21 08:00:00,7.08
2021-12-21 09:00:00,6.85
2021-12-21 10:00:00,7.70
2021-12-21 11:00:00,7.17
2021-12-21 12:00:00,9.54
2021-12-21 13:00:00,5.78
2021-12-21 14:00:00,6.03
2021-12-21 15:00:00,6.58
2021-12-21 16:00:00,6.64
2021-12-21 17:00:00,7.79
2021-12-21 18:00:00,8.76
2021-12-21 19:00:00,6.77
2021-12-21 20:00:00,5.82
2021-12-21 21:00:00,5.61
2021-12-21 22:00:00,5.48
2021-12-21 23:00:00,2.75
2021-12-22 00:00:00,4.07
2021-12-22 01:00:00,3.72
2021-12-22 02:00:00,2.86
2021-12-22 03:00:00,5.65
2021-12-22 04:00:00,5.43
2021-12-22 05:00:00,4.07
2021-12-22 06:00:00,5.66
2021-12-22 07:00:00,3.64
2021-12-22 08:00:00,9.87
2021-12-22 09:00:00,8.27
2021-12-22 10:00:00,5.03
2021-12-22 11:00:00,6.34
2021-12-22 12:00:00,12.2
2021-12-22 13:00:00,18.5
2021-12-22 14:00:00,25.2
2021-12-22 15:00:00,22.7
2021-12-22 16:00:00,21.4
2021-12-22 17:00:00,14.8
2021-12-22 18:00:00,19.2
2021-12-22 19:00:00,14.3
2021-12-22 20:00:00,18.7
2021-12-22 21:00:00,15.7
2021-12-22 22:00:00,13.5
2021-12-22 23:00:00,10.6
2021-12-23 00:00:00,10.8
2021-12-23 01:00:00,7.39
2021-12-23 02:00:00,5.36
2021-12-23 03:00:00,3.75
2021-12-23 04:00:00,3.19
2021-12-23 05:00:00,3.21
2021-12-23 06:00:00,3.50
2021-12-23 07:00:00,4.05
2021-12-23 08:00:00,3.55
2021-12-23 09:00:00,4.06
2021-12-23 10:00:00,3.39
2021-12-23 11:00:00,3.32
2021-12-23 12:00:00,1.43
2021-12-23 13:00:00,2.66
2021-12-23 14:00:00,3.76
2021-12-23 15:00:00,8.50
2021-12-23 16:00:00,7.72
2021-12-23 17:00:00,6.06
2021-12-23 18:00:00,5
2021-12-23 19:00:00,1.91
2021-12-23 20:00:00,1.34
2021-12-23 21:00:00,3.91
2021-12-23 22:00:00,17.6
2021-12-23 23:00:00,13.6
2021-12-24 00:00:00,10.0
2021-12-24 01:00:00,9.95
2021-12-24 02:00:00,8.47
2021-12-24 03:00:00,7.43
2021-12-24 04:00:00,4.95
2021-12-24 05:00:00,3.69
2021-12-24 06:00:00,3.13
2021-12-24 07:00:00,2.83
2021-12-24 08:00:00,3.00
2021-12-24 09:00:00,3.99
2021-12-24 10:00:00,4.14
2021-12-24 11:00:00,5.01
2021-12-24 12:00:00,5.24
2021-12-24 13:00:00,6.16
2021-12-24 14:00:00,5.07
2021-12-24 15:00:00,5.44
2021-12-24 16:00:00,5.08
2021-12-24 17:00:00,6.43
2021-12-24 18:00:00,8.19
2021-12-24 19:00:00,9.08
2021-12-24 20:00:00,8.57
2021-12-24 21:00:00,7.09
2021-12-24 22:00:00,6.60
2021-12-24 23:00:00,5.23
2021-12-25 00:00:00,4.42
2021-12-25 01:00:00,4.63
2021-12-25 02:00:00,4.69
2021-12-25 03:00:00,6.20
2021-12-25 04:00:00,6.50
2021-12-25 05:00:00,7.50
2021-12-25 06:00:00,7.83
2021-12-25 07:00:00,6.40
2021-12-25 08:00:00,8.81
2021-12-25 09:00:00,9.03
2021-12-25 10:00:00,10.4
2021-12-25 11:00:00,9.69
2021-12-25 12:00:00,7.40
2021-12-25 13:00:00,6.32
2021-12-25 14:00:00,5.75
2021-12-25 15:00:00,6.33
2021-12-25 16:00:00,8.06
2021-12-25 17:00:00,8.12
2021-12-25 18:00:00,10.7
2021-12-25 19:00:00,5.29
2021-12-25 20:00:00,5.91
2021-12-25 21:00:00,4.22
2021-12-25 22:00:00,6.01
2021-12-25 23:00:00,6.41
2021-12-26 00:00:00,5.26
2021-12-26 01:00:00,5.07
2021-12-26 02:00:00,6.90
2021-12-26 03:00:00,5.22
2021-12-26 04:00:00,6.81
2021-12-26 05:00:00,6.72
2021-12-26 06:00:00,5.54
2021-12-26 07:00:00,7.34
2021-12-26 08:00:00,6.61
2021-12-26 09:00:00,8.82
2021-12-26 10:00:00,13.0
2021-12-26 11:00:00,16.4
2021-12-26 12:00:00,19.8
2021-12-26 13:00:00,10.3
2021-12-26 14:00:00,13.3
2021-12-26 15:00:00,11.7
2021-12-26 16:00:00,6.17
2021-12-26 17:00:00,7.93
2021-12-26 18:00:00,9.81
2021-12-26 19:00:00,11.4
2021-12-26 20:00:00,12.5
2021-12-26 21:00:00,8.98
2021-12-26 22:00:00,5.65
2021-12-26 23:00:00,6.97
2021-12-27 00:00:00,7.15
2021-12-27 01:00:00,4.39
2021-12-27 02:00:00,2.70
2021-12-27 03:00:00,1.98
2021-12-27 04:00:00,1.27
2021-12-27 05:00:00,0.771
2021-12-27 06:00:00,1.22
2021-12-27 07:00:00,1.76
2021-12-27 08:00:00,2.49
2021-12-27 09:00:00,4.58
2021-12-27 10:00:00,6.81
2021-12-27 11:00:00,7.61
2021-12-27 12:00:00,12.2
2021-12-27 13:00:00,17.8
2021-12-27 14:00:00,18.4
