,elgeseter_pm25,elgeseter_pm10,torget_pm25,torget_pm10
2021-10-31 01:00:00,7.982309,46.801584,18.2,25.9
2021-10-31 02:00:00,-0.022246,17.546504,12.9,16.7
2021-10-31 02:00:00,-0.022246,17.546504,12.9,9.1
2021-10-31 02:00:00,-0.022246,17.546504,7.3,16.7
2021-10-31 02:00:00,-0.022246,17.546504,7.3,9.1
2021-10-31 02:00:00,-0.022246,12.253843,12.9,16.7
2021-10-31 02:00:00,-0.022246,12.253843,12.9,9.1
2021-10-31 02:00:00,-0.022246,12.253843,7.3,16.7
2021-10-31 02:00:00,-0.022246,12.253843,7.3,9.1
2021-10-31 02:00:00,1.9087839999999998,17.546504,12.9,16.7
2021-10-31 02:00:00,1.9087839999999998,17.546504,12.9,9.1
2021-10-31 02:00:00,1.9087839999999998,17.546504,7.3,16.7
2021-10-31 02:00:00,1.9087839999999998,17.546504,7.3,9.1
2021-10-31 02:00:00,1.9087839999999998,12.253843,12.9,16.7
2021-10-31 02:00:00,1.9087839999999998,12.253843,12.9,9.1
2021-10-31 02:00:00,1.9087839999999998,12.253843,7.3,16.7
2021-10-31 02:00:00,1.9087839999999998,12.253843,7.3,9.1
2021-10-31 03:00:00,2.5429180000000002,5.740297,2.5,3.6
2021-10-31 04:00:00,0.883447,3.771383,2.3,2.8
2021-10-31 05:00:00,3.1619289999999998,6.8994029999999995,1.9,2.3
